Using cuda device
Logging to runs/p7f343fa/PPO_1
---------------------------------
| rollout/           |          |
|    ep_rew_mean          | 0.502      |
| time/                   |            |
|    fps                  | 994        |
|    iterations           | 34         |
|    time_elapsed         | 1120       |
|    total_timesteps      | 1114112    |
| train/                  |            |
|    approx_kl            | 0.02301164 |
|    clip_fraction        | 0.252      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.21      |
|    explained_variance   | 0.471      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.026     |
|    n_updates            | 330        |
|    policy_gradient_loss | -0.0235    |
|    value_loss           | 0.00279    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 98          |
|    ep_rew_mean          | 0.451       |
| time/                   |             |
|    fps                  | 992         |
|    iterations           | 35          |
|    time_elapsed         | 1155        |
|    total_timesteps      | 1146880     |
| train/                  |             |
|    approx_kl            | 0.022611275 |
|    clip_fraction        | 0.251       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.18       |
|    explained_variance   | 0.433       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0468     |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0226     |
|    value_loss           | 0.00302     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 95.9       |
|    ep_rew_mean          | 0.439      |
| time/                   |            |
|    fps                  | 990        |
|    iterations           | 36         |
|    time_elapsed         | 1191       |
|    total_timesteps      | 1179648    |
| train/                  |            |
|    approx_kl            | 0.02326386 |
|    clip_fraction        | 0.249      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.18      |
|    explained_variance   | 0.39       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.022     |
|    n_updates            | 350        |
|    policy_gradient_loss | -0.0219    |
|    value_loss           | 0.00365    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 82.6        |
|    ep_rew_mean          | 0.511       |
| time/                   |             |
|    fps                  | 990         |
|    iterations           | 37          |
|    time_elapsed         | 1223        |
|    total_timesteps      | 1212416     |
| train/                  |             |
|    approx_kl            | 0.022733867 |
|    clip_fraction        | 0.247       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.15       |
|    explained_variance   | 0.347       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0367     |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0213     |
|    value_loss           | 0.00394     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 84.4        |
|    ep_rew_mean          | 0.502       |
| time/                   |             |
|    fps                  | 988         |
|    iterations           | 38          |
|    time_elapsed         | 1259        |
|    total_timesteps      | 1245184     |
| train/                  |             |
|    approx_kl            | 0.024263691 |
|    clip_fraction        | 0.257       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.1        |
|    explained_variance   | 0.356       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0449     |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0217     |
|    value_loss           | 0.00446     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 84.5        |
|    ep_rew_mean          | 0.53        |
| time/                   |             |
|    fps                  | 988         |
|    iterations           | 39          |
|    time_elapsed         | 1293        |
|    total_timesteps      | 1277952     |
| train/                  |             |
|    approx_kl            | 0.023168482 |
|    clip_fraction        | 0.254       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.08       |
|    explained_variance   | 0.46        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0155     |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0205     |
|    value_loss           | 0.00409     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 95          |
|    ep_rew_mean          | 0.478       |
| time/                   |             |
|    fps                  | 988         |
|    iterations           | 40          |
|    time_elapsed         | 1326        |
|    total_timesteps      | 1310720     |
| train/                  |             |
|    approx_kl            | 0.022956196 |
|    clip_fraction        | 0.252       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.08       |
|    explained_variance   | 0.432       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0216     |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.0212     |
|    value_loss           | 0.00421     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 90.1        |
|    ep_rew_mean          | 0.473       |
| time/                   |             |
|    fps                  | 987         |
|    iterations           | 41          |
|    time_elapsed         | 1361        |
|    total_timesteps      | 1343488     |
| train/                  |             |
|    approx_kl            | 0.024838863 |
|    clip_fraction        | 0.259       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.07       |
|    explained_variance   | 0.44        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0439     |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0217     |
|    value_loss           | 0.00403     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 81          |
|    ep_rew_mean          | 0.529       |
| time/                   |             |
|    fps                  | 981         |
|    iterations           | 42          |
|    time_elapsed         | 1402        |
|    total_timesteps      | 1376256     |
| train/                  |             |
|    approx_kl            | 0.025133472 |
|    clip_fraction        | 0.258       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.04       |
|    explained_variance   | 0.397       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.042      |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.0225     |
|    value_loss           | 0.00496     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 80.6        |
|    ep_rew_mean          | 0.535       |
| time/                   |             |
|    fps                  | 977         |
|    iterations           | 43          |
|    time_elapsed         | 1440        |
|    total_timesteps      | 1409024     |
| train/                  |             |
|    approx_kl            | 0.024761837 |
|    clip_fraction        | 0.261       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2          |
|    explained_variance   | 0.441       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0462     |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0224     |
|    value_loss           | 0.0052      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 77.3        |
|    ep_rew_mean          | 0.549       |
| time/                   |             |
|    fps                  | 977         |
|    iterations           | 44          |
|    time_elapsed         | 1474        |
|    total_timesteps      | 1441792     |
| train/                  |             |
|    approx_kl            | 0.025187256 |
|    clip_fraction        | 0.26        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.96       |
|    explained_variance   | 0.423       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0598     |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.0223     |
|    value_loss           | 0.00573     |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 73.5      |
|    ep_rew_mean          | 0.562     |
| time/                   |           |
|    fps                  | 975       |
|    iterations           | 45        |
|    time_elapsed         | 1510      |
|    total_timesteps      | 1474560   |
| train/                  |           |
|    approx_kl            | 0.0256806 |
|    clip_fraction        | 0.261     |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.94     |
|    explained_variance   | 0.396     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0391   |
|    n_updates            | 440       |
|    policy_gradient_loss | -0.0216   |
|    value_loss           | 0.00563   |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 70.1       |
|    ep_rew_mean          | 0.58       |
| time/                   |            |
|    fps                  | 974        |
|    iterations           | 46         |
|    time_elapsed         | 1546       |
|    total_timesteps      | 1507328    |
| train/                  |            |
|    approx_kl            | 0.02493048 |
|    clip_fraction        | 0.26       |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.91      |
|    explained_variance   | 0.419      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0379    |
|    n_updates            | 450        |
|    policy_gradient_loss | -0.0211    |
|    value_loss           | 0.00626    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 70.2        |
|    ep_rew_mean          | 0.588       |
| time/                   |             |
|    fps                  | 974         |
|    iterations           | 47          |
|    time_elapsed         | 1579        |
|    total_timesteps      | 1540096     |
| train/                  |             |
|    approx_kl            | 0.025418054 |
|    clip_fraction        | 0.263       |
