
Using cuda device
Logging to runs/7ftz3hl5/PPO_1
---------------------------------
| rollout/           |          |
|    clip_fraction        | 0.324       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.97       |
|    explained_variance   | 0.912       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0457     |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0312     |
|    value_loss           | 0.000103    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 195        |
|    ep_rew_mean          | 0.245      |
| time/                   |            |
|    fps                  | 1087       |
|    iterations           | 39         |
|    time_elapsed         | 1175       |
|    total_timesteps      | 1277952    |
| train/                  |            |
|    approx_kl            | 0.03317648 |
|    clip_fraction        | 0.322      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.91      |
|    explained_variance   | 0.958      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0643    |
|    n_updates            | 380        |
|    policy_gradient_loss | -0.0345    |
|    value_loss           | 5.14e-05   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 200        |
|    ep_rew_mean          | 0.224      |
| time/                   |            |
|    fps                  | 1085       |
|    iterations           | 40         |
|    time_elapsed         | 1207       |
|    total_timesteps      | 1310720    |
| train/                  |            |
|    approx_kl            | 0.03355121 |
|    clip_fraction        | 0.331      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.89      |
|    explained_variance   | 0.827      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0633    |
|    n_updates            | 390        |
|    policy_gradient_loss | -0.0301    |
|    value_loss           | 0.00016    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 193         |
|    ep_rew_mean          | 0.256       |
| time/                   |             |
|    fps                  | 1084        |
|    iterations           | 41          |
|    time_elapsed         | 1239        |
|    total_timesteps      | 1343488     |
| train/                  |             |
|    approx_kl            | 0.035275083 |
|    clip_fraction        | 0.327       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.88       |
|    explained_variance   | 0.941       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0611     |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0358     |
|    value_loss           | 6.8e-05     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 199         |
|    ep_rew_mean          | 0.227       |
| time/                   |             |
|    fps                  | 1082        |
|    iterations           | 42          |
|    time_elapsed         | 1271        |
|    total_timesteps      | 1376256     |
| train/                  |             |
|    approx_kl            | 0.035258736 |
|    clip_fraction        | 0.336       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.84       |
|    explained_variance   | 0.865       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0516     |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.0297     |
|    value_loss           | 0.000147    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 191         |
|    ep_rew_mean          | 0.228       |
| time/                   |             |
|    fps                  | 1081        |
|    iterations           | 43          |
|    time_elapsed         | 1303        |
|    total_timesteps      | 1409024     |
| train/                  |             |
|    approx_kl            | 0.036310993 |
|    clip_fraction        | 0.331       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.81       |
|    explained_variance   | 0.952       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0481     |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0376     |
|    value_loss           | 5.51e-05    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 192        |
|    ep_rew_mean          | 0.237      |
| time/                   |            |
|    fps                  | 1079       |
|    iterations           | 44         |
|    time_elapsed         | 1336       |
|    total_timesteps      | 1441792    |
| train/                  |            |
|    approx_kl            | 0.03636595 |
|    clip_fraction        | 0.33       |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.78      |
|    explained_variance   | 0.955      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0441    |
|    n_updates            | 430        |
|    policy_gradient_loss | -0.0375    |
|    value_loss           | 5.63e-05   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 193         |
|    ep_rew_mean          | 0.221       |
| time/                   |             |
|    fps                  | 1077        |
|    iterations           | 45          |
|    time_elapsed         | 1368        |
|    total_timesteps      | 1474560     |
| train/                  |             |
|    approx_kl            | 0.037489645 |
|    clip_fraction        | 0.333       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.74       |
|    explained_variance   | 0.956       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0597     |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.0371     |
|    value_loss           | 5.15e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 192         |
|    ep_rew_mean          | 0.231       |
| time/                   |             |
|    fps                  | 1076        |
|    iterations           | 46          |
|    time_elapsed         | 1400        |
|    total_timesteps      | 1507328     |
| train/                  |             |
|    approx_kl            | 0.038795535 |
|    clip_fraction        | 0.337       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.69       |
|    explained_variance   | 0.923       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0595     |
|    n_updates            | 450         |
|    policy_gradient_loss | -0.0375     |
|    value_loss           | 9.74e-05    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 193        |
|    ep_rew_mean          | 0.233      |
| time/                   |            |
|    fps                  | 1075       |
|    iterations           | 47         |
|    time_elapsed         | 1432       |
